              **************  
              *            *  
  ********    *            *  
  * X    *    *            *  
  *      +####+            *  
  *      *    ************+*  
  *      *                #   
  *      *                #   
  *      *                #   
  *      *                #   
  ***+****                #   
     #                    #   
     #                    #   
     #                    #   
     #############        #   
                 #        #   
     ************+******  #   
     *                 *  #   
     *                 *  #   
     *                 +###   
     *                 *      
     *                 *      
     *                 *      
     *              &  *      
     *                 *      
     *******************      
                              
                              
                              
